Name,TotalTime,RecipeCategory,RecipeIngredientParts,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,Price
V 8 Juice(Juicer),10,Beverages,"carrots, celery, tomatoes, fresh spinach, parsley, scallion, beet, garlic clove, oregano, tomato paste, Tabasco sauce",95.1,0.8,0.1,0.0,149.9,21.0,6.7,11.4,3.6,9
Mexican Hot Chocolate With Coconut Whipped Cream,15,Beverages,"milk, cocoa powder, sugar, cinnamon, nutmeg, cayenne, vanilla extract, salt, coconut milk, powdered sugar, vanilla extract",644.9,26.5,21.8,34.2,157.9,97.6,3.3,79.1,10.8,34
Tom &amp; Jerry,10,Beverages,"powdered sugar, ground allspice, ground cinnamon, ground cloves, brandy, dark rum, hot water, milk, coffee, nutmeg",115.7,3.2,1.1,124.5,47.8,7.2,0.3,6.1,4.6,41
Infused Water,10,Beverages,"strawberry, blueberries, blackberry, raspberries, pineapple, mango, lemon, lime, grapefruit, orange, watermelon, cantaloupe, honeydew, pear, apple, grapes, plum, cucumber, carrot, celery, ginger, cinnamon, sage, rosemary, basil, cilantro",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
Love Tea,15,Beverages,"fresh lemongrass, fresh ginger, cinnamon stick, cardamom pods, anise seed, cloves, dried peppermint, tea, honey, rose water",21.1,0.1,0.0,0.0,0.6,5.4,0.1,4.3,0.2,25
Muesli With Strawberries and Hazelnuts,10,Beverages,"rolled oats, sultana, low-fat milk, green apple, fresh lemon juice, hazelnuts, sesame seeds, strawberries, plain low-fat yogurt, clear honey",319.3,9.4,1.5,4.2,45.7,55.6,5.6,35.2,8.7,21
"Cooler Sodas, Berry Mashes , Milkshakes(On the Road Recipe)",5,Beverages,"strawberries, blueberries, half-and-half, milk, sugar, Splenda sugar substitute, ginger ale, strawberries, blueberries, sugar, Splenda sugar substitute, half-and-half cream, milk, strawberries, blueberries, sugar, Splenda sugar substitute, half-and-half cream, milk, vanilla ice cream",798.0,47.8,28.6,150.2,366.4,82.0,12.8,38.5,16.2,27
Coffee Grog,15,Beverages,"butter, brown sugar, ground allspice, ground cloves, ground nutmeg, ground cinnamon, dark rum, lemon peel, heavy cream, half-and-half, coffee",222.3,12.9,8.1,45.9,30.6,10.5,0.0,8.9,0.8,44
Eggnog With Soymilk,5,Beverages,"eggs, soymilk, sugar, sugar substitute, vanilla, cinnamon, nutmeg, ground cloves, allspice, pumpkin pie spice",393.5,13.6,2.8,186.0,321.0,45.1,3.7,32.5,22.3,23
Burnt Rosemary Orange Spritz,15,Beverages,"lemons, granulated sugar, rosemary sprigs, water, lemon juice, sparkling water, orange, Bacardi 151 rum, rosemary sprig, rosemary sprig, orange",213.6,0.2,0.0,0.0,8.9,27.2,1.3,20.7,0.7,46
